"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"cc6fef4d5d68c970c58b81f138d2fea9","Bacteria",NA,NA,NA,NA,NA,NA
"5c33e187ccc986670f1beb60cc0dc7e8","Bacteria",NA,NA,NA,NA,NA,NA
"7e2190b7678ab8dcae2448220bb25f11","Bacteria",NA,NA,NA,NA,NA,NA
"786ce4515e3764b7e5a5c4714a1b730b","Bacteria",NA,NA,NA,NA,NA,NA
"e409b23e832a7d92703e2bcdc95c3226","Bacteria",NA,NA,NA,NA,NA,NA
"d9b8055d668397f7a1a04b9a97a4110f","Bacteria",NA,NA,NA,NA,NA,NA
"386d5c8e05c97057a083cb2bdafbc883","Bacteria",NA,NA,NA,NA,NA,NA
"d34e7feee1678ba6f8ff6ef7c9153534","Bacteria",NA,NA,NA,NA,NA,NA
"ae50559bcda323ce4d5e42652a60e4bb","Bacteria",NA,NA,NA,NA,NA,NA
"52494b99af0d6aaf588adc8d3759eccc","Bacteria",NA,NA,NA,NA,NA,NA
"c5901f012a5d250f9f0784226c008e4c","Bacteria",NA,NA,NA,NA,NA,NA
"c5427851854d623c066c31eca7a8834c","Bacteria",NA,NA,NA,NA,NA,NA
"3fb2f8a4952aa1c4f1fcc9271627ff75","Bacteria",NA,NA,NA,NA,NA,NA
"2a4cefd795edffb2a22dda9e0a51cb8b","Bacteria",NA,NA,NA,NA,NA,NA
"6012d3d4a6f51d0c4383285534fc2189","Bacteria",NA,NA,NA,NA,NA,NA
"95d3d15764417fc15d9545ae42ee1b5e","Bacteria",NA,NA,NA,NA,NA,NA
"8f9c8eef23704b6c33ce4696f48bcbf1","Bacteria",NA,NA,NA,NA,NA,NA
"84b08ac4c41ca70ed89c1f8568cad984","Bacteria",NA,NA,NA,NA,NA,NA
"1aede088356ca6c7c6f45e71d5e26d85","Bacteria",NA,NA,NA,NA,NA,NA
"efae69b85682e63b8704f68c6bd2e333","Bacteria",NA,NA,NA,NA,NA,NA
"c822216dee9c3a78bf56ce11c74a22c9","Bacteria",NA,NA,NA,NA,NA,NA
"efaebf5f3a8f8a4f594dba0bb8383477","Bacteria",NA,NA,NA,NA,NA,NA
"e73b43eeb8fe89a73047594966ab217f","Bacteria",NA,NA,NA,NA,NA,NA
"a112e6d67600d559bb212d080177601b","Bacteria",NA,NA,NA,NA,NA,NA
"b642c171979d2d641ad4b46cb8662a08","Bacteria",NA,NA,NA,NA,NA,NA
"57cecfa11402662409d09e0b54a556f0","Bacteria",NA,NA,NA,NA,NA,NA
"86da5461cf179bfab0afd5a8285e5d77","Bacteria",NA,NA,NA,NA,NA,NA
"5933c313e21fd5d261b8b13070fe27e2","Bacteria",NA,NA,NA,NA,NA,NA
"f4a9a0f58a45dfe7e573a22492b85dd0","Bacteria",NA,NA,NA,NA,NA,NA
"81ab2fc49b2e563385ecb60a97ab6e1c","Bacteria",NA,NA,NA,NA,NA,NA
"e976bc422c3ba634773030a1691e76aa","Bacteria",NA,NA,NA,NA,NA,NA
"640b3af9edebd89cb6bdb6749bd6a485","Bacteria",NA,NA,NA,NA,NA,NA
"2b4fb2b2fd2bb7b60044f9bb4a77c5e6","Bacteria",NA,NA,NA,NA,NA,NA
"35332414e65fcaecb3f646d92326895e","Bacteria",NA,NA,NA,NA,NA,NA
"b458345a3515838bbc991fb5c4f889e6","Bacteria",NA,NA,NA,NA,NA,NA
"627f6072824efa8d43ac4519d557661a","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum","midas_f_675",NA,NA
"32cc527ba908d7ba1d1a22ccf0196c46","Bacteria","Acidobacteriota","Acidobacteriae","Paludibaculum","midas_f_675","midas_g_7271","midas_s_7271"
"d83bb801979af94170698484eff4e270","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Ca_Solibacter","midas_s_112682"
"383128d315d613a333ccfa307780fda6","Bacteria","Acidobacteriota","Acidobacteriae","Solibacterales","Solibacteraceae","Ca_Solibacter","midas_s_91404"
"cb3ad4acd015d2b23cc790af8db176b8","Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Oligosphaeraceae","midas_g_114909","midas_s_114909"
"6810fe3f7e65b3c6caeb5ec8d6942899","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","vadinBE97","midas_g_99760","midas_s_99760"
"f377f5c808a4350f02546c3c4bf3443f","Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","vadinBE97","midas_g_66002","midas_s_93969"
"50b782c5fe71263731e33ad57563908f","Bacteria","Sumerlaeota","Sumerlaeia","midas_o_3047","midas_f_3047","midas_g_3047","midas_s_3047"
"ea50b4a6e3f43b46d3a370d0d54a2d51","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","midas_g_23962","midas_s_23962"
"8f3ebb65776081affd364d11ed756739","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea","midas_s_100487"
"411c594fcc9e4b88b83c1dd5e2fd9851","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","midas_g_21200","midas_s_21200"
"13169351017dc701d5d74418021f3123","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta","midas_s_91836"
"a4869f7c7616ac34fae3da7a882a4c3f","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","midas_g_119126","midas_s_119126"
"b7228f9bde3960dbcce75dc1005738a6","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","midas_s_101658"
"dce0cb94e218e097aac6cbd932d0aeaa","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","midas_g_120189","midas_s_120189"
