,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
400.1635,0.00974971,0.007554614,0.01179065,0.007212107,0.01229677,0.009500721,0.009964,0.01017251,0.009912695,0.006387523,0.007334448,0.008678745,0.01232022,0.007937674,0.01129173,0.008998925,-0.008070819,0.008092837,0.009342409,0.008255261,0.008953509,-0.008121588,0.009004791,0.007258048
400.6456,0.01666979,0.01249666,0.01794195,0.01243628,0.01830757,0.01597138,0.0166565,0.01627371,0.01651472,0.01116406,0.01300852,0.01499203,0.01842999,0.0141537,0.01763442,0.01584287,0.005650214,0.01436133,0.01590983,0.01471787,0.01574798,0.005757887,0.0156921,0.01260529
401.1277,0.01778047,0.01374776,0.01864124,0.01358758,0.01896677,0.01694473,0.01751959,0.01715273,0.01743678,0.01251171,0.01433291,0.01599591,0.01921379,0.01551829,0.01845169,0.01711947,0.01408485,0.0156611,0.01684521,0.01600412,0.01704962,0.01424501,0.01674284,0.01383817
401.6098,0.02032463,0.01641333,0.02072328,0.01622816,0.02088482,0.01936648,0.01997018,0.01929551,0.01978466,0.01476368,0.016818,0.0184179,0.02128869,0.01824683,0.02066719,0.01979976,0.01250048,0.01823142,0.01926081,0.01868906,0.01965586,0.01261263,0.01926626,0.01646068
402.0919,0.02102293,0.0172995,0.02113081,0.01705122,0.02128498,0.0200798,0.02055308,0.01988415,0.02036035,0.01563543,0.01766051,0.01909436,0.02178312,0.01912828,0.02119034,0.02057392,0.0177475,0.01904364,0.019845,0.01948524,0.02039491,0.01780619,0.01987535,0.01728185
402.5741,0.02261765,0.01918816,0.02234364,0.0189135,0.02247025,0.02167596,0.02209297,0.021235,0.02182387,0.01713906,0.01928827,0.02063176,0.02302029,0.02088464,0.02252601,0.02220075,0.01655202,0.0206647,0.021339,0.02119628,0.02198978,0.01657043,0.02137785,0.01905566
403.0562,0.02310046,0.01980111,0.02257401,0.01949888,0.02279446,0.02222997,0.02250549,0.02166794,0.02224958,0.01770683,0.0198533,0.02109722,0.02332143,0.02142051,0.02285741,0.0226448,0.0202368,0.02117564,0.02174176,0.02171949,0.02244896,0.02020771,0.02170639,0.01958342
403.5383,0.0242687,0.0212535,0.02341499,0.02091693,0.0237083,0.02341479,0.0236252,0.02266493,0.02335964,0.01881235,0.02106457,0.02220101,0.0241687,0.02264599,0.02379666,0.0237566,0.01925203,0.02232983,0.02284063,0.02298005,0.02360748,0.01924596,0.02273622,0.02090482
404.0204,0.02469437,0.0217346,0.02362179,0.02137612,0.02405005,0.02387714,0.02398383,0.02305241,0.023783,0.01924669,0.02153595,0.0225749,0.02440299,0.02301799,0.02408181,0.02408277,0.02208721,0.02273215,0.02320805,0.02342946,0.02401052,0.02212437,0.02299916,0.02132888
404.5026,0.02573819,0.02301246,0.02436778,0.02260735,0.02488331,0.0248801,0.02495941,0.02393519,0.02480028,0.02021332,0.02261569,0.02351549,0.0251183,0.02405755,0.02490704,0.02504263,0.02137258,0.02374557,0.02417823,0.02455984,0.02506445,0.02152894,0.02392374,0.02251822
404.9847,0.02623928,0.0235081,0.02465209,0.02308728,0.02527638,0.02534779,0.02537485,0.02437612,0.02530008,0.02066567,0.02312799,0.02392167,0.02538972,0.02447437,0.02525895,0.02543931,0.02381483,0.02420837,0.02459307,0.02507751,0.02555628,0.02413264,0.02430621,0.02301566
405.4668,0.02724613,0.02470548,0.02536741,0.02424702,0.02603834,0.02625875,0.02629204,0.0252191,0.02626668,0.02158795,0.0241471,0.02480153,0.02604932,0.02548558,0.02604481,0.02637467,0.02335335,0.02518776,0.02548514,0.02615693,0.02657958,0.02386854,0.02525019,0.02417405
405.9489,0.02774207,0.02516183,0.02565441,0.02471149,0.02637398,0.02668624,0.02669193,0.025652,0.02674339,0.02202354,0.02462253,0.02519959,0.02630542,0.02593024,0.02638823,0.02678766,0.02550013,0.02564615,0.02586161,0.02665261,0.02705774,0.02625544,0.02569258,0.02466649
406.4311,0.02859129,0.02618353,0.02625247,0.0257153,0.02695529,0.0274391,0.02745047,0.02636001,0.02754777,0.02282104,0.02547445,0.02594831,0.02684611,0.02683146,0.02703304,0.02759132,0.0250978,0.02647453,0.02659126,0.02755715,0.0279035,0.02606682,0.02654395,0.02565774
406.9132,0.02894617,0.02650583,0.02645717,0.02605593,0.02714217,0.02775073,0.027724,0.02666551,0.02789012,0.02314587,0.02581506,0.02624227,0.02702349,0.02718449,0.02725536,0.02788876,0.02688862,0.02679421,0.02685827,0.02790682,0.02821263,0.02810535,0.02690769,0.02599963
407.3953,0.02961143,0.0273783,0.02695039,0.02689464,0.02756573,0.02836988,0.02832532,0.02719592,0.02852266,0.02380285,0.02651938,0.02684046,0.02746901,0.02794137,0.02773942,0.02852977,0.02646814,0.02744443,0.02746472,0.02863475,0.02884549,0.02786452,0.0276252,0.02680112
407.8774,0.02989304,0.02769971,0.02715384,0.02719434,0.02771486,0.02866845,0.02856872,0.02740099,0.02879244,0.02407244,0.02683756,0.02707007,0.02764773,0.02824917,0.02789407,0.02877015,0.02802431,0.02769688,0.02772935,0.02893255,0.02905633,0.0296387,0.02795245,0.02708212
408.3596,0.03052141,0.02863228,0.02767253,0.0280318,0.02815572,0.02931764,0.02918877,0.02785372,0.02937103,0.02470318,0.02756798,0.02761694,0.0281155,0.02898406,0.02833331,0.02938727,0.02771306,0.02832639,0.02836113,0.0296475,0.02963871,0.02946308,0.02865089,0.02787131
408.8417,0.03084847,0.02911744,0.02796387,0.02842853,0.02840734,0.02972322,0.02954447,0.02805834,0.0296531,0.0250128,0.02799135,0.02786421,0.02836877,0.02934969,0.02851388,0.02969106,0.0292149,0.02865327,0.02871512,0.03001296,0.02989889,0.03113342,0.02902864,0.02823825
409.3238,0.03148123,0.03015768,0.02852362,0.02931942,0.0289239,0.03042709,0.03023414,0.02850346,0.03020411,0.02565468,0.02877699,0.0284001,0.02886365,0.03010068,0.02895083,0.03034204,0.02904632,0.02933538,0.0293769,0.03074159,0.03051286,0.03102769,0.02972439,0.02906931
409.8059,0.03178615,0.03069744,0.02882326,0.02974387,0.02921968,0.03083242,0.03061412,0.02871653,0.03045035,0.02596203,0.02921154,0.0286398,0.02911571,0.0304649,0.02912691,0.03067118,0.03046705,0.0297044,0.02972218,0.03108416,0.0308026,0.03251245,0.03007007,0.02944879
410.2881,0.03230559,0.03163555,0.02930262,0.03054647,0.02967822,0.03140403,0.03119433,0.02913159,0.03090844,0.02653375,0.02989397,0.0291152,0.02953733,0.03112709,0.0295066,0.03127043,0.03030681,0.03034526,0.0302778,0.03168681,0.03137215,0.03229484,0.03064156,0.0301824
410.7702,0.03249061,0.03201398,0.02950721,0.03085888,0.02986803,0.03162109,0.03140372,0.02932788,0.03108496,0.02676821,0.03019352,0.02930916,0.02971836,0.03140072,0.02964349,0.03154734,0.03156156,0.03066079,0.0305061,0.03189586,0.03161443,0.03348305,0.03086119,0.03044978
411.2523,0.03289798,0.03274814,0.02988931,0.03153148,0.03018238,0.03197283,0.03176757,0.02972588,0.03149578,0.0272654,0.03072523,0.02974112,0.0300815,0.03197302,0.03000033,0.03209131,0.03139548,0.03123631,0.0309438,0.03237476,0.03212849,0.03317044,0.03131561,0.03106751
411.7344,0.03306578,0.03301594,0.03007597,0.03180886,0.03027589,0.0320477,0.03182842,0.02995382,0.0317087,0.02748871,0.03095157,0.02995226,0.03028286,0.03224305,0.03019147,0.0323866,0.03260238,0.03155626,0.03113622,0.03256436,0.03238283,0.03425699,0.03151467,0.03132036
412.2166,0.0335202,0.03372302,0.03049866,0.03251412,0.03054377,0.03233787,0.03211369,0.03039714,0.03219099,0.02800689,0.03146661,0.03042039,0.03071349,0.03285924,0.03064065,0.03298456,0.03258304,0.03217655,0.03158744,0.03309396,0.03294121,0.0341048,0.03200976,0.03199137
412.6987,0.03379532,0.03407454,0.03078981,0.0329083,0.03066725,0.03245404,0.03219737,0.03068686,0.03249981,0.02828509,0.03173941,0.03069078,0.03102271,0.03322324,0.03095681,0.03337191,0.03388232,0.03258811,0.0318462,0.03340176,0.0332786,0.03532692,0.03230871,0.03237068
413.1808,0.03432553,0.03487226,0.03130425,0.03370936,0.03098795,0.03281581,0.03253468,0.03114947,0.03301978,0.02882061,0.03228221,0.03117373,0.03152539,0.03389208,0.03148725,0.03401486,0.03401318,0.03326201,0.03233712,0.03401797,0.03387971,0.03539568,0.03286956,0.03313388
413.6629,0.03462491,0.03529416,0.03165084,0.03415648,0.03117476,0.03300861,0.03268074,0.03141877,0.03330356,0.02907372,0.03255033,0.03141937,0.03185264,0.03426036,0.03182786,0.03439352,0.03529361,0.03367564,0.03260219,0.03436103,0.03421738,0.03665873,0.033183,0.03355033
414.1451,0.03508875,0.0360636,0.03213584,0.03489964,0.03152365,0.03339456,0.03303209,0.03180274,0.03371523,0.02951467,0.03301791,0.03181559,0.0322854,0.03484917,0.03229336,0.03494105,0.03536766,0.0342582,0.03303445,0.03491656,0.03474632,0.03671385,0.03366666,0.03423926
414.6272,0.03529203,0.03640654,0.03240082,0.03523531,0.0317219,0.0335833,0.03317101,0.0319865,0.0338763,0.02965952,0.03319506,0.03196864,0.03249997,0.03512346,0.03252906,0.03520306,0.0364481,0.03454417,0.03323166,0.03516714,0.03500334,0.03779177,0.03387201,0.0345372
415.1093,0.03566717,0.03705868,0.03276835,0.03583559,0.03206313,0.03394232,0.0334965,0.03229826,0.03418599,0.03000478,0.0335815,0.03228395,0.03280289,0.03563597,0.03287527,0.03564348,0.03639369,0.03499208,0.03360677,0.03563206,0.03546925,0.03771653,0.03424921,0.03509592
415.5914,0.03586272,0.03733112,0.03294127,0.03608471,0.03227231,0.0341339,0.03364471,0.03246773,0.0343265,0.03012345,0.03374948,0.03241561,0.0329296,0.03592202,0.03303821,0.03587401,0.03734956,0.03520735,0.03380902,0.03586905,0.03574055,0.03865707,0.03442214,0.03534076
416.0736,0.03630305,0.03795248,0.03324657,0.03664934,0.03263521,0.03452193,0.03400723,0.03280552,0.03467933,0.03050053,0.03418606,0.03274816,0.03318489,0.03651349,0.03335445,0.03634246,0.03733537,0.03564333,0.03422682,0.03638461,0.03627402,0.03861078,0.03483305,0.03591694
416.5557,0.03662443,0.03824512,0.03340214,0.03692173,0.03288212,0.03477764,0.03422799,0.03303026,0.03491133,0.03070372,0.03445703,0.03292912,0.03330744,0.03692965,0.03353354,0.03664964,0.03834949,0.03590458,0.03449434,0.03672637,0.03664803,0.03959523,0.03510205,0.03625211
417.0378,0.03717027,0.03886486,0.03369737,0.03749439,0.03325953,0.03522015,0.03464827,0.03339818,0.03533558,0.03116032,0.03498401,0.03329115,0.03355846,0.03761412,0.03386451,0.037171,0.03846851,0.03638171,0.03493249,0.03731915,0.03723808,0.03966522,0.03560305,0.03691253
417.52,0.03752987,0.03911382,0.03384195,0.03773582,0.03348576,0.03550708,0.03489504,0.03360994,0.03559228,0.03141756,0.03530791,0.03347483,0.03366525,0.03804635,0.03404278,0.03747998,0.03952255,0.03665412,0.03515571,0.03767303,0.03758717,0.04066096,0.03592524,0.03729405
418.0021,0.03799343,0.03961057,0.0341004,0.03819937,0.03378401,0.03592866,0.03527622,0.03390308,0.03596669,0.03186887,0.03581353,0.03379939,0.03387114,0.03862295,0.03433303,0.0379196,0.03964434,0.03707679,0.03546728,0.03816714,0.03803326,0.04070449,0.03639872,0.03791088
418.4842,0.03818647,0.0397207,0.03420739,0.03831257,0.03390386,0.03617363,0.03545208,0.03402217,0.03614518,0.03209218,0.03607941,0.03395205,0.0339381,0.03887885,0.0344625,0.03811327,0.04058137,0.03726707,0.03554461,0.03836027,0.03817464,0.04156434,0.03664365,0.03820099
418.9663,0.03845883,0.04012123,0.03443897,0.03868416,0.03410017,0.03655697,0.03576174,0.03424794,0.03645935,0.03250328,0.0365225,0.03428075,0.03413357,0.03927962,0.03471866,0.03845366,0.04060706,0.03761558,0.035753,0.03869268,0.03841826,0.04153207,0.03702152,0.03871621
419.4484,0.03853746,0.04026194,0.03455814,0.03882359,0.03417613,0.0368138,0.03592581,0.03438011,0.0366589,0.03272933,0.03678112,0.03450905,0.0342528,0.03946476,0.03486787,0.03863444,0.04144097,0.03780044,0.03584246,0.03881911,0.03845987,0.04235772,0.03721748,0.03897369
419.9306,0.03880159,0.0407991,0.03481913,0.03932057,0.0343888,0.03724471,0.03628033,0.03469022,0.03706499,0.03317706,0.0372637,0.03495346,0.03453942,0.03991326,0.0351803,0.03903923,0.04146476,0.03820591,0.03616482,0.03919299,0.03872088,0.04243543,0.03759468,0.03952179
420.4127,0.03896284,0.04112782,0.0349629,0.03963267,0.03452523,0.0375575,0.03652431,0.03494498,0.03739126,0.03345902,0.03758697,0.03529941,0.03475649,0.04023327,0.03539827,0.039325,0.04228465,0.0384845,0.03642365,0.03944372,0.03886815,0.04337538,0.03782459,0.03985662
420.8948,0.03931724,0.04178737,0.03519962,0.04023734,0.03478876,0.03799041,0.03692707,0.03534687,0.03788072,0.03392978,0.03809538,0.0358,0.03509333,0.04080356,0.03574122,0.03979249,0.04230662,0.03895121,0.036881,0.03993561,0.03923519,0.04355472,0.03821132,0.04044664
