,S537_AD1,S538_AD2,S539_AD3,S540_AD4,S541_AD5,S542_AD6,S958_AD1,S959_AD2,S960_AD3,S961_AD4,S962_AD5,S963_AD6,S1189_AD1,S1190_AD2,S1191_AD3,S1192_AD4,S1193_AD5,S1194_AD6,S1365_AD1,S1366_AD2,S1367_AD3,S1368_AD4,S1369_AD5,S1370_AD6
,#048,#049,#050,#051,#052,#053,#086,#087,#088,#089,#090,#091,#095,#096,#097,#098,#099,#100,#103,#104,#105,#106,#107,#108
400.1635,52.0922,43.11664,59.30666,45.55128,58.35863,54.56323,55.71703,56.72152,54.77509,47.49572,48.17731,53.91257,58.80069,47.79644,57.98498,50.86827,41.44756,49.69315,54.62512,48.88828,49.52008,41.29664,52.4476,45.76043
400.6456,52.21007,43.11065,59.29854,45.5344,58.58225,54.5465,55.68424,56.7023,54.81642,47.3792,48.16066,53.86823,58.79612,47.77285,57.92649,50.81488,41.48179,49.67958,54.59174,48.89709,49.63988,41.40517,52.49684,45.73618
401.1277,52.239,43.03386,59.27668,45.4263,58.72769,54.41849,55.60092,56.61671,54.80272,47.24526,48.08944,53.75565,58.75262,47.68934,57.83809,50.74305,41.45318,49.61409,54.52965,48.86367,49.72612,41.44801,52.5056,45.64468
401.6098,52.22262,42.93259,59.27219,45.27807,58.80791,54.22861,55.49858,56.50053,54.76196,47.13457,48.01077,53.62455,58.70944,47.60692,57.75826,50.69924,41.41708,49.54799,54.46665,48.82664,49.8056,41.46988,52.52193,45.54539
402.0919,52.20082,42.84939,59.30398,45.14121,58.84131,54.02983,55.40918,56.3871,54.71443,47.07617,47.9588,53.51701,58.69812,47.57565,57.71614,50.71675,41.41994,49.52112,54.42141,48.81379,49.89782,41.50619,52.58082,45.48522
402.5741,52.1926,42.8052,59.36916,45.04568,58.84113,53.85877,55.3479,56.29322,54.66449,47.07505,47.94188,53.45305,58.72956,47.6141,57.71675,50.79791,41.47798,49.54315,54.39552,48.82947,50.00204,41.56167,52.68491,45.47676
403.0562,52.18674,42.78865,59.44141,44.98726,58.80716,53.72215,55.30485,56.21157,54.59714,47.10594,47.9374,53.42154,58.78701,47.69965,57.73785,50.91047,41.56832,49.5892,54.36938,48.84933,50.09241,41.60458,52.80106,45.49397
403.5383,52.15319,42.76637,59.48369,44.9353,58.73164,53.60165,55.25155,56.11705,54.4881,47.12652,47.90784,53.39051,58.8382,47.78346,57.74242,51.00328,41.64388,49.61465,54.31495,48.83546,50.13202,41.58389,52.87675,45.48862
404.0204,52.06398,42.70589,59.46764,44.85494,58.60946,53.47195,55.16023,55.98535,54.32223,47.10024,47.8238,53.3283,58.85329,47.81653,57.69919,51.03257,41.66096,49.58075,54.21287,48.75879,50.09395,41.45906,52.86744,45.41943
404.5026,51.913,42.59615,59.38752,44.72894,58.45045,53.32028,55.02141,55.80847,54.10523,47.01461,47.6823,53.22118,58.82205,47.77468,57.59985,50.98199,41.60259,49.47539,54.06559,48.61722,49.97895,41.22402,52.75846,45.27502
404.9847,51.72309,42.4547,59.26404,44.56846,58.28247,53.15571,54.85255,55.60296,53.86623,46.8868,47.50972,53.08149,58.75755,47.66776,57.46362,50.87045,41.48797,49.3204,53.89843,48.43883,49.81884,40.91464,52.57174,45.08121
405.4668,51.53728,42.31785,59.13348,44.40644,58.14412,53.00494,54.69018,55.40392,53.64669,46.75345,47.34841,52.94015,58.68874,47.53226,57.32865,50.74039,41.36088,49.16023,53.74753,48.26925,49.6646,40.59402,52.35443,44.88755
405.9489,51.39751,42.21857,59.02937,44.27799,58.06725,52.8947,54.57119,55.24913,53.48202,46.65104,47.23361,52.83003,58.64264,47.40967,57.23288,50.63617,41.2659,49.03913,53.64075,48.14857,49.56341,40.32412,52.15564,44.74104
406.4311,51.32366,42.16499,58.96489,44.19901,58.06012,52.83327,54.51061,55.16066,53.38519,46.59606,47.17373,52.76847,58.62866,47.32429,57.19525,50.58078,41.22408,48.97779,53.58162,48.09027,49.53615,40.13703,52.00274,44.6608
406.9132,51.30397,42.13254,58.92617,44.1553,58.10039,52.802,54.49248,55.13509,53.34242,46.57778,47.14519,52.74902,58.63269,47.27166,57.20733,50.56614,41.22274,48.96364,53.54717,48.07557,49.56908,40.02398,51.89141,44.62942
407.3953,51.30418,42.07705,58.8819,44.1113,58.14561,52.76434,54.47768,55.14723,53.32286,46.56701,47.10675,52.74791,58.62652,47.22574,57.24066,50.56099,41.2254,48.95971,53.50114,48.06616,49.62388,39.94744,51.79464,44.60486
407.8774,51.28883,41.9594,58.80233,44.03116,58.15305,52.68599,54.42582,55.16568,53.29792,46.53434,47.02283,52.73897,58.5849,47.1577,57.26456,50.53152,41.19513,48.92679,53.41456,48.02749,49.65928,39.86877,51.68371,44.54662
408.3596,51.24139,41.76845,58.67648,43.89956,58.10052,52.55564,54.31808,55.16721,53.25509,46.46713,46.8838,52.70823,58.50061,47.05475,57.26194,50.4596,41.11481,48.8433,53.28194,47.94823,49.6515,39.77222,51.54749,44.4373
408.8417,51.17204,41.52859,58.51865,43.73008,57.99546,52.39291,54.16824,55.1459,53.20235,46.37502,46.71059,52.65926,58.38831,46.9273,57.23584,50.35159,40.9956,48.71509,53.12397,47.84545,49.60246,39.67344,51.40006,44.29137
409.3238,51.10968,41.28949,58.36072,43.55759,57.87101,52.24136,54.01723,55.10975,53.15908,46.28236,46.5442,52.6077,58.27678,46.8022,57.20309,50.23117,40.86768,48.56836,52.97713,47.75376,49.53392,39.60703,51.27156,44.14428
409.8059,51.08289,41.10229,58.23542,43.41862,57.7691,52.14835,53.91428,55.07096,53.14054,46.21288,46.42398,52.5688,58.19175,46.70507,57.18029,50.12374,40.76075,48.43332,52.87374,47.7041,49.47103,39.60249,51.18958,44.03092
