ASV,F10,F110,F115,F124,F133,F142,F15,F151,F160,F170,F179,F188,F197,F29,F38,F46,F55,F64,F73,F82,F90,F99,S1001.AD1,S1002.AD2,S1003.AD3,S1004.AD4,S1005.AD5,S1006.AD6,S119.full,S1273.ADFull,S1287.AD1,S1288.AD2,S1289.AD3,S1290.AD4,S1291.AD5,S1292.AD6,S1317.AD1,S1318.AD2,S1319.AD3,S1320.AD4,S1321.AD5,S1322.AD6,S1389.AD1,S1390.AD2,S1391.AD3,S1392.AD4,S1393.AD5,S1394.AD6,S1443.AD1,S1444.AD2,S1445.AD3,S1446.AD4,S1447.AD5,S1448.AD6,S1506.AD1,S1507.AD2,S1508.AD3,S1509.AD4,S1510.AD5,S1511.AD6,S1554.ADFull,S1619.AD1,S162.AD1,S1620.AD2,S1621.AD3,S1622.AD4,S1623.AD5,S1624.AD6,S163.AD2,S164.AD3,S165.AD4,S166.AD5,S167.AD6,S1673.ADFull,S1741.AD1,S1742.AD2,S1743.AD3,S1744.AD4,S1745.AD5,S1746.AD6,S1813.ADFull,S229.full,S27.AD1,S291.AD1,S292.AD2,S293.AD3,S294.AD4,S295.AD5,S296.AD6,S30.AD4,S32.AD6,S370.full,S381.AD1,S381.full,S382.AD2,S383.AD3,S384.AD4,S385.AD5,S386.AD6,S459.AD1,S460.AD2,S461.AD3,S462.AD4,S463.AD5,S464.AD6,S561.AD1,S562.AD2,S563.AD3,S564.AD4,S565.AD5,S566.AD6,S657.AD1,S658.AD2,S659.AD3,S660.AD4,S661.AD5,S662.AD6,S69.AD1,S70.AD2,S71.AD3,S72.AD4,S73.AD5,S735.AD1,S736.AD2,S737.AD3,S738.AD4,S739.AD5,S74.AD6,S740.AD6,S777.AD1,S778.AD2,S779.AD3,S780.AD4,S781.AD5,S782.AD6,S837.AD1,S838.AD2,S839.AD3,S840.AD4,S841.AD5,S842.AD6,S934.AD1,S935.AD2,S936.AD3,S937.AD4,S938.AD5,S939.AD6,Pathway,Pathway.Type,Pathway.Class,Taxonomic.Range,Species,Reactions,Common.Name,CLASS0,CLASS1,CLASS2,CLASS3,Pathway2
1CMET2-PWY,32813.28929,39174.12796,41661.63745,41289.37028,25449.07202,29353.71158,30139.90215,24873.75129,29127.92396,45546.84962,34445.88393,33927.82723,36580.39688,38223.43214,25877.24478,34975.06977,35282.0487,27551.87137,28240.51564,47144.52452,36062.70306,26193.21301,21354.72407,17653.73471,20626.97929,28128.1735,26648.40984,26945.27682,26553.21058,23019.18364,27069.48932,36870.80942,32783.87651,38020.44924,30974.1974,27434.68317,27243.11646,25227.00234,27063.24519,33249.84567,28481.52686,26620.85788,25127.32728,33857.88842,34864.87362,33866.51031,20026.24969,39553.69272,23892.84936,26094.85155,31555.89828,27251.25267,19616.23686,17352.66449,39275.54512,33065.40275,32288.2984,32384.762,22924.77782,25638.52117,29611.96798,24806.56776,18769.74106,22940.80898,25574.89579,39762.3489,31406.97831,30719.17217,28721.64161,23838.92439,27549.82829,25635.6834,24946.66474,29884.37493,28204.68277,29784.3499,32728.32092,26358.9424,27294.00632,35875.98542,36461.49439,25826.18875,28355.80027,22040.10325,27839.56345,28836.63659,27917.0161,19868.10613,29278.88581,35755.73076,28931.89114,21005.14314,22695.14322,28736.60473,16858.09237,50893.33625,7918.693352,27469.65076,24232.03885,7562.151698,26619.58743,25318.10649,31465.33578,25120.10679,26751.80319,23609.60688,18183.12329,25215.46004,26783.27008,21284.66888,18941.53106,20633.26197,21124.62063,30641.27136,27053.73163,13810.61232,21090.5245,32084.29764,37025.01457,24190.75625,28339.66391,32811.61504,22282.38072,25297.09466,29519.25197,27723.78808,22464.11678,25331.38567,23318.23061,22718.17064,48941.13042,24506.22337,34024.50673,18322.8459,19948.97877,19349.53537,19969.23854,25227.84944,26298.76753,18664.00859,21980.90166,21876.65521,18154.27398,21357.63167,20373.39243,17439.31775,28549.7002,folate transformations III (<i>E. coli</i>),"Cofactor, Carrier, and Vitamin Biosynthesis",Folate Transformations,Fungi // Metazoa // Bacteria <bacteria>,Escherichia coli,"a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // L-serine + a tetrahydrofolate  <-->  glycine + a 5,10-methylenetetrahydrofolate + H2O // a 5,10-methylenetetrahydrofolate + NADP+  <-->  a 5,10-methenyltetrahydrofolate + NADPH // a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+ // glycine + a tetrahydrofolate + NAD+  <-->  a 5,10-methylenetetrahydrofolate + ammonium + CO2 + NADH // L-homocysteine + a 5-methyltetrahydrofolate  ->  L-methionine + a tetrahydrofolate // a 5-methyltetrahydrofolate + NAD+  <-  a 5,10-methylenetetrahydrofolate + NADH + H+ // a (6S)-5-formyltetrahydrofolate + ATP  ->  a 5,10-methenyltetrahydrofolate + ADP + phosphate // a tetrahydrofolate + NADP+  <-  a 7,8-dihydrofolate + NADPH + H+",folate transformations III (E. coli),Biosynthesis,"Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis",Vitamin-Biosynthesis,Folate-Biosynthesis,Nsup10-formyl-tetrahydrofolate biosynthesis
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY,1479.68778,2695.329859,2293.581385,2977.816593,2658.104687,1766.55575,1485.216501,2184.003656,2518.99807,2969.26497,2296.096183,2487.094673,2528.780289,1706.348208,740.4393935,1208.877519,2198.951623,1379.298819,1483.828156,2060.171955,2301.774778,1694.426889,211.4238098,666.9371859,193.5909276,265.17914,918.2774137,919.3908255,592.0672125,407.4443477,322.2127704,379.0959549,278.9437956,475.2476819,288.537297,191.8795297,298.036579,233.6523931,314.3737962,428.1090315,303.87782,225.9391497,326.376314,269.602857,628.0671979,503.9649331,78.96723466,473.696682,265.7924859,229.0330799,495.7831695,313.9399841,184.5682721,195.1621513,485.8958652,319.8770777,376.6776866,365.1231048,336.8345275,299.7495243,605.2505444,359.956458,231.2439673,235.4734731,371.1745992,347.3760356,546.1315453,356.6666768,341.2724531,331.8099821,497.0006901,290.956885,392.6535039,704.1837829,327.1545777,413.6830648,476.0272421,358.8498658,334.7317089,524.412967,757.5545195,477.4703334,465.4411198,240.3106127,324.487296,311.7672753,332.7164909,196.9249703,392.8484219,492.397366,514.9133347,423.1575228,183.1761274,584.9519907,152.8518358,584.1340701,0,194.4009978,335.3937353,56.91856371,352.1106273,285.8628148,300.2608447,241.2253572,373.5221308,242.3098793,124.1086605,108.0278429,253.2931402,134.0060337,169.9670963,169.7994118,223.4871712,225.6380797,320.3852788,99.15162897,287.4441645,802.0540235,613.7412873,351.0456663,527.9693333,1127.528425,249.9746679,274.0081075,255.7565657,256.7332138,276.2656923,418.0168977,324.1786374,332.6895787,823.7851183,311.4353209,476.0798162,260.7769024,457.7263737,187.815392,603.2787413,268.4229661,234.1953738,536.6893941,624.9034739,320.6821661,633.5448051,288.6120329,186.9570868,530.0136212,909.6564705,4-hydroxyphenylacetate degradation,Aromatic Compound Degradation,Aromatic Compound Degradation,Proteobacteria,Pseudomonas aeruginosa // Acinetobacter // Escherichia coli // Escherichia coli // Escherichia coli // Klebsiella pneumoniae // Pseudomonas putida // Pseudomonas putida,"(3E,5R)-5-carboxy-2-oxohept-3-enedioate + H+  ->  (4Z)-2-oxohept-4-enedioate + CO2 // (4Z)-2-oxohept-4-enedioate + H2O  ->  (4S)-4-hydroxy-2-oxoheptanedioate // succinate semialdehyde + NADP+ + H2O  ->  succinate + NADPH + 2 H+ // (4S)-4-hydroxy-2-oxoheptanedioate  ->  succinate semialdehyde + pyruvate // 5-carboxymethyl-2-hydroxymuconate  ->  (3E,5R)-5-carboxy-2-oxohept-3-enedioate // 2-hydroxy-5-carboxymethylmuconate semialdehyde + NAD+ + H2O  ->  5-carboxymethyl-2-hydroxymuconate + NADH + 2 H+ // (3,4-dihydroxyphenyl)acetate + dioxygen  ->  2-hydroxy-5-carboxymethylmuconate semialdehyde + H+ // (4-hydroxyphenyl)acetate + FADH2 + dioxygen  ->  (3,4-dihydroxyphenyl)acetate + FAD + H+ + H2O",4-hydroxyphenylacetate degradation,Degradation/Utilization/Assimilation,Aromatic-Compounds-Degradation,Aromatic-Compounds-Degradation,Aromatic-Compounds-Degradation,4-hydroxyphenylacetate degradation
AEROBACTINSYN-PWY,34.22518774,61.47673765,37.72259583,48.98909102,27.37328401,49.43023574,80.31877258,52.1665763,58.36424154,76.29208475,77.33032851,91.91848578,114.6830892,119.1458838,22.16248688,72.62075456,49.76294301,69.06841794,28.58876048,94.68287017,58.92018405,26.41109658,0,4.527727643,0,0,10.63054646,23.55785714,0,0,0,0,0,0,0,0,0,0,0,0,1.13359491,0,0,0,2.601633947,0,0,2.30020284,0,0,0,0,0,0,0,0,0,0,0,2.622538474,0,0,0,0,0,0,0,0,4.173295455,0,3.928632741,0,0,14.74401905,0,0,0,0,0,0,4.446876727,6.113874814,0,2.285714286,0,0,6.325581395,0,0,0,0,0,0,0,0,0,0,1.121663286,0,0,0,1.2,2.318671454,0,0,0.734930556,0,0,1.323808843,0,0,0,0,2.809805579,0,0,0,0,0,2.275813495,0,0,0,0.989130435,0,4.592057762,0,0,0,0,3.352211701,0,4.706645057,0,9.223075722,0,6.387118417,2.775,0,2.616113744,18.83483324,0,4.857617546,0,0,5.630444421,20.98829098,aerobactin biosynthesis,Secondary Metabolite Biosynthesis,Siderophore and Metallophore Biosynthesis,Proteobacteria,Klebsiella aerogenes // Escherichia coli // Klebsiella pneumoniae // Salmonella enterica // Shigella boydii // Shigella flexneri // Yersinia frederiksenii // Yersinia intermedia // Yersinia kristensenii,N6-acetyl-N6-hydroxy-L-lysine + N1-citryl-N6-acetyl-N6-hydroxy-L-lysine + ATP  ->  aerobactin + AMP + diphosphate + H+ // N6-acetyl-N6-hydroxy-L-lysine + citrate + ATP  ->  N1-citryl-N6-acetyl-N6-hydroxy-L-lysine + AMP + diphosphate + H+ // L-lysine + NADPH + dioxygen  ->  N6-hydroxy-L-lysine + NADP+ + H2O // N6-hydroxy-L-lysine + acetyl-CoA  ->  N6-acetyl-N6-hydroxy-L-lysine + coenzyme A,aerobactin biosynthesis,Biosynthesis,Secondary Metabolite Biosynthesis,Nitrogen-Containing Secondary Compound Biosynthesis,Siderophores-Biosynthesis,aerobactin biosynthesis
ALL-CHORISMATE-PWY,9088.69611,11354.64034,12008.21015,12648.54134,7074.624682,8756.146577,8568.2848,7612.539628,9233.942522,13464.55113,9968.123692,9737.534871,10857.52731,11121.19413,4339.373956,10148.29872,9534.354556,7733.946829,8008.024939,12154.87958,10108.92276,7398.263937,0,2858.847886,638.7661556,2111.478212,3617.543838,5465.333056,3331.213136,1489.383074,1069.443783,2101.799556,1959.612591,2193.259886,2004.799395,428.0611021,1357.309629,1279.635359,1437.835108,2039.12955,2017.838148,1860.763781,1402.421076,1176.31339,2097.149219,1908.858966,1466.94602,3004.70397,870.9465191,0,1693.235998,462.5982395,1220.09922,887.9225695,2096.922702,1918.434269,1468.665827,1270.28621,2117.595442,1515.845677,3380.757036,1159.419453,274.9704774,214.4664255,1740.156157,1367.816972,1984.447232,2051.924724,351.1501858,1596.672487,2451.100458,2452.663624,526.9076495,4028.230582,1493.068714,1718.873808,2700.435512,214.902868,784.5008676,2704.938074,3701.25417,1116.069413,2965.799966,1402.352563,1908.785822,1662.38589,2397.567141,1361.648471,2445.759823,6135.42624,3130.859361,2622.504737,835.2710856,3445.365565,1015.990576,3833.6841,441.5796891,1769.428588,1172.75486,0,1895.592884,139.0802288,2734.316934,1352.706855,1913.057222,187.515028,0,1007.536955,1977.143394,1451.151542,1017.720289,1170.919203,1202.194507,482.8674116,2060.283677,691.8924846,1433.990513,4737.671028,2472.592185,2255.930769,2014.654092,5754.635081,1220.674489,1731.369457,1627.640158,1492.415887,1557.024774,1888.70405,1749.575481,862.5249584,4473.708194,1586.057422,3072.073938,1622.249969,2471.644356,1555.783051,2758.999609,1882.374519,1519.311195,3135.277202,3904.156055,1646.604514,2631.142317,0,1593.679761,2558.631653,4887.654522,superpathway of chorismate metabolism,Superpathways,Superpathways,Bacteria <bacteria>,Escherichia coli,"superpathway of tetrahydrofolate biosynthesis // menaquinol-8 biosynthesis // demethylmenaquinol-8 biosynthesis I // 2-carboxy-1,4-naphthoquinol biosynthesis // enterobactin biosynthesis // superpathway of aromatic amino acid biosynthesis // superpathway of ubiquinol-8 biosynthesis (early decarboxylation)",superpathway of chorismate metabolism,Biosynthesis,Aromatic-Compounds-Biosynthesis,superpathway of chorismate metabolism,superpathway of chorismate metabolism,superpathway of chorismate metabolism
ANAEROFRUCAT-PWY,31903.0792,39716.91421,42324.83163,40307.96082,24894.88944,28711.15864,29594.75733,24237.00195,28895.60575,45440.43279,33897.48729,32669.90709,35343.91424,37446.33311,25433.1951,33799.7871,34857.54915,27360.39101,27983.64784,48940.50225,35626.86912,26845.5307,21076.95393,20051.0269,19582.8376,30486.37952,28178.05417,28332.52788,24234.27337,20930.83031,27812.06069,40861.01631,30333.91617,42296.67991,30337.37218,27930.04821,26745.67305,26564.84557,24258.49274,35641.04477,29727.59183,27823.56593,24230.87533,36084.78387,33852.10149,39376.58981,21911.00003,40961.95632,21748.4654,27976.98853,30790.54485,30681.24347,21480.53656,18250.74504,35999.09885,35347.73634,31601.28646,32368.65539,23001.67774,26166.3357,25961.10592,23086.79591,18822.82591,23661.82597,23236.17198,35872.09983,31757.51215,29752.55728,30315.80165,24084.41824,28658.45772,27515.76141,25699.94915,28101.2422,26809.36729,30456.00679,30023.59689,27531.55561,28269.21936,34887.98313,31622.96454,24536.54849,31040.91956,22666.52302,28452.09954,27019.05584,28778.90449,20346.538,29997.25351,31630.7528,29663.78825,20592.48323,23799.67332,27602.98896,17913.65811,48843.84018,8378.3262,28298.35707,26052.3135,7486.178735,27186.63967,24126.42007,32331.51772,25742.89379,26898.35268,23646.75906,18670.63809,24149.05617,27224.00996,21568.86438,20451.24958,20311.56254,23507.09668,28332.83359,27764.67673,14456.17631,23777.37058,34588.4023,38241.04743,23814.01527,29718.08767,32047.13999,22240.58712,28339.43921,27787.25806,28452.17079,24588.59488,26458.41384,26210.81141,23214.50289,54208.12319,23436.73577,36168.37017,19327.1254,21925.37256,20051.87022,23113.71567,23910.5239,28560.46254,20113.22393,24087.6198,21439.12069,19970.82569,19484.32959,22715.51893,18732.4175,31049.35707,homolactic fermentation,Generation of Precursor Metabolites and Energy // Superpathways,Fermentation to Lactate // Superpathways,Archaea // Eukaryota // Bacteria <bacteria>,Enterococcus faecalis // Enterococcus faecium // Homo sapiens // Lactobacillus acidophilus // Lacticaseibacillus casei // Lactobacillus delbrueckii // Lactobacillus delbrueckii // Lapidilactobacillus dextrinicus // Lactiplantibacillus plantarum // Ligilactobacillus salivarius // Lactococcus lactis // Pediococcus acidilactici // Pediococcus damnosus // Rattus norvegicus // Streptococcus equinus // Streptococcus thermophilus,glycolysis III (from glucose) // pyruvate fermentation to (<i>S</i>)-lactate,homolactic fermentation,Degradation/Utilization/Assimilation,Generation of Precursor Metabolite and Energy,Fermentation,Fermentation-to-Lactate$Super-Pathways,homolactic fermentation
ANAGLYCOLYSIS-PWY,40987.56552,49949.41871,52690.96486,51103.19796,30929.85529,36686.97492,38044.49124,30229.14874,35322.60747,56143.63337,42471.06669,41186.7531,44282.50469,47850.96624,36778.40601,43867.28128,44389.8304,34593.63101,35527.58279,64164.90133,45349.30811,33315.98496,34511.9885,30590.30186,33045.599,46965.02968,43979.54263,41564.83274,42273.8229,35705.94616,45841.9631,60849.09963,52904.33922,63613.39574,44459.57667,41144.69265,45978.16184,40789.1423,41076.39626,53982.90127,43648.86552,41325.60038,41504.30207,57231.38648,54450.94809,59534.31948,33284.15558,64100.07158,37080.8054,44574.96491,49893.97233,46682.22557,32775.38691,28981.1574,61504.31804,56457.50941,50050.66994,50433.36374,36131.34746,40388.13853,46427.98544,39399.54576,28963.00998,39596.85757,39453.49391,57469.0728,50666.61714,49943.34329,45105.297,37114.94666,40897.78536,40160.12491,38515.77738,45746.11742,45950.09474,52480.32666,52659.56981,41741.07022,43753.53191,58053.21762,54408.67116,41868.60159,45538.74196,35697.80241,44644.18658,44417.4205,44059.85523,31580.50563,45747.56297,51053.76727,45291.48994,33956.61307,38149.82493,44478.14184,27814.56162,81142.78115,12526.43191,44157.67037,39997.40123,12460.65524,42207.98105,40049.56016,47678.29663,39541.39963,42173.65047,38643.09836,29951.99378,41536.60452,40267.79495,34317.2099,33208.81265,33966.41159,37530.57648,49513.14055,42130.55838,23469.15795,37770.97843,49302.78894,56599.77701,35901.5854,44876.92052,45555.97586,36326.38707,43973.14088,47687.09038,43442.07166,38295.39254,39873.65707,40859.9959,37236.63238,81861.40756,38454.60219,54367.77085,29559.64485,34425.8408,32207.48737,34400.64698,40013.50186,43602.14128,30227.02651,35683.28707,35119.93083,30399.79684,32909.36825,34392.15762,28752.39686,45489.71574,glycolysis III (from glucose),Generation of Precursor Metabolites and Energy,Glycolysis,Eukaryota // Bacteria <bacteria>,Homo sapiens // Saccharomyces cerevisiae // Saccharomyces cerevisiae // Thermotoga maritima,"2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+ // alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // 2-phospho-D-glycerate  <-->  3-phospho-D-glycerate // pyruvate + ATP  <-  phosphoenolpyruvate + ADP + H+ // 2-phospho-D-glycerate  <-->  phosphoenolpyruvate + H2O // 3-phospho-D-glycerate + ATP  <-->  3-phospho-D-glyceroyl phosphate + ADP // D-glyceraldehyde 3-phosphate + NAD+ + phosphate  <-->  3-phospho-D-glyceroyl phosphate + NADH + H+ // D-glyceraldehyde 3-phosphate  <-->  glycerone phosphate // beta-D-fructofuranose 1,6-bisphosphate  <-->  glycerone phosphate + D-glyceraldehyde 3-phosphate // ATP + beta-D-fructofuranose 6-phosphate  ->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+",glycolysis III (from glucose),Degradation/Utilization/Assimilation,Generation of Precursor Metabolite and Energy,Glycolysis,GLYCOLYSIS-VARIANTS,glycolysis III (from glucose)
ARG+POLYAMINE-SYN,16707.34723,19000.78677,19514.1448,19990.1216,12746.18535,13787.40383,14765.92328,12526.96324,14706.66592,23117.50397,17829.4348,17137.71575,19122.16585,19156.23294,15818.91419,17825.30598,17240.95402,13682.56361,14307.369,23143.92991,17802.48469,12728.86949,10278.84773,11188.38384,7195.503674,18731.24025,16462.45871,16118.08517,13234.56538,11109.81297,13911.84408,25424.50863,13967.49877,24705.63887,16907.77188,16446.97727,14139.56205,17389.81149,12074.3082,21582.35936,18892.6203,16727.01146,13161.1801,22995.50763,16009.26531,22892.2606,13387.37988,26677.1306,11870.38109,17770.93668,14127.38193,16298.622,13194.45701,11529.84722,18701.24711,22490.91154,16676.72142,17451.98698,15257.65259,16706.7241,14335.43532,12858.63631,9511.209862,14905.59005,11829.85283,19650.69474,19795.34426,17162.36808,16920.93029,10846.82706,16069.2324,14503.45449,12387.56092,14125.42003,15382.2991,20860.17425,15480.34829,15736.21642,16961.11516,19990.7801,17094.28357,12192.33175,14247.80346,10797.47583,16397.47182,11809.60243,18074.57342,11933.31315,12349.68187,20227.35304,15644.84492,10477.01886,11252.31071,13792.33146,9575.936847,20981.52418,4875.829921,16352.76314,10053.34224,3313.224713,14878.5089,10363.84952,20035.43119,15288.46948,11290.23825,11058.45648,10260.68233,10405.78227,17266.81422,12503.4901,8269.736844,10465.58738,16163.9662,13342.69972,17542.34326,9867.112666,15871.54419,14852.49088,18777.64331,12211.93267,16509.86916,18073.89002,11205.70438,19056.12035,12844.26982,17826.79955,16538.08751,13237.90888,18054.97594,10971.25541,38033.11964,9470.626983,21382.5418,12977.6429,15624.33655,9304.505842,12296.65151,10278.44723,17789.37153,12131.1058,14622.33221,10550.08058,11723.99691,7912.522994,14338.40124,11050.66242,18270.26326,superpathway of arginine and polyamine biosynthesis,Superpathways // Amine and Polyamine Biosynthesis,Amine and Polyamine Biosynthesis // Superpathways,Bacteria <bacteria>,Escherichia coli,L-arginine biosynthesis I (via L-ornithine) // superpathway of polyamine biosynthesis I,superpathway of arginine and polyamine biosynthesis,Biosynthesis,Amine-and-Polyamine-Biosynthesis,Polyamine-Biosynthesis,Polyamine-Biosynthesis$Super-Pathways,superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY,555.1114636,929.067289,977.7158295,1305.949678,738.478731,656.4606948,652.5671303,618.6238034,1067.761298,1337.324918,880.5291503,1019.004048,1232.380116,881.3760637,416.4264968,789.0204251,526.7578135,552.9386304,447.2139708,971.3941958,592.9399572,450.8312927,0,157.1784136,0,0,175.0941238,249.950074,34.61260622,21.34656876,10.89667222,47.60474776,21.64020969,0,43.83228457,57.48451012,10.49537111,0,0,13.29436249,0,0,14.98976494,0,64.76484102,0,0,18.62185871,24.93103108,0,80.45806033,0,12.94709055,27.8456576,23.69479393,0,18.48699572,2.312544159,146.0423755,21.80122006,0,46.56892163,0,12.62108324,0,2.774771338,40.56339907,17.30763534,14.44287938,3.213863256,19.64257043,31.20638772,30.85770145,0,0,2.778658555,32.27320414,0,0,0,16.19219624,25.54067629,0,0,9.681438789,2.760719605,17.45332813,0,1.369991989,1.863275302,0,0,0,14.23968519,0,0,11.40697481,0,8.372089673,0,0,0,16.78759319,21.72759467,0,0,0,0,4.589486126,4.588775292,0,0,0,11.84799314,13.81736494,8.874926786,16.35618604,13.4400781,3.241805233,8.013661768,0,0,11.39124134,95.49060151,3.272081094,35.77161765,0,7.417827521,0,0,33.02030385,0.924460326,75.652903,37.07562088,76.90736339,0,33.03992766,9.780175222,0,73.50785817,191.3361611,0,37.23399808,0,11.85916107,49.03766938,238.1761345,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",Superpathways // Amino Acid Degradation,L-arginine Degradation // Superpathways,Bacteria <bacteria>,Escherichia coli,putrescine degradation I // superpathway of 4-aminobutanoate degradation // L-arginine degradation III (arginine decarboxylase/agmatinase pathway) // putrescine degradation II,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",Degradation/Utilization/Assimilation,Amino-Acid-Degradation,Proteinogenic Amino Acid Degradation,ARGININE-DEG$Super-Pathways,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
ARGORNPROST-PWY,11287.60712,15644.14966,16990.27815,13922.37016,8977.9654,10245.2178,10858.7388,8673.206134,11115.20548,17351.82888,13234.83291,12210.65413,12621.34912,13394.05388,10555.29141,12033.44132,13383.70756,10347.28859,10769.31101,19253.47596,13258.16493,10799.40096,6420.931885,8508.937401,4877.363381,10532.96061,11721.35374,11058.70793,12314.67342,10489.74285,8550.998361,15202.23275,7197.137776,16789.10737,11212.59,10302.62645,7747.979319,10044.8883,5697.175001,13213.55712,12462.80542,10423.16881,7138.742557,12571.76331,9465.751664,14283.41128,9300.85622,15866.13795,6823.206185,9991.119817,7989.764436,10555.43138,9129.156829,6687.548337,11425.91319,13096.23957,9338.39404,11466.09706,10699.77608,10117.12971,12982.12366,7188.973273,5073.497021,9468.320789,8016.732702,11555.43409,13096.96032,11177.07694,8950.282336,6961.359893,9720.701354,9065.411753,7100.046017,13081.11725,9065.339432,13398.82249,10816.5617,10051.78884,10438.04557,12058.0608,15491.22243,10884.37599,12391.97934,6447.907578,8668.951085,7049.871194,11672.4821,6635.792043,8056.135796,14249.3268,12258.31847,9723.103965,6659.924456,13327.15804,5015.017853,14071.1849,2971.130775,8655.848188,6744.585486,2161.799608,8723.677766,6733.650288,12049.27979,8223.522316,6989.626237,6426.659154,5538.30298,6904.4359,9769.504673,6304.336573,4511.600806,5720.847569,6740.348642,8674.639488,10392.59821,4764.505945,5738.773481,12444.8282,11997.89134,8533.43952,12558.00085,9813.808932,6561.880697,8264.806974,7308.071161,9879.463076,8359.658863,8876.10826,5617.546092,8002.590128,17315.88613,6507.525253,13632.95164,6792.864725,4567.952013,6529.357726,8252.444289,6999.795789,9715.347984,8063.611249,7576.669118,6753.450382,7835.075856,5725.982559,8104.587908,7540.64807,10387.74066,NA,NA,NA,NA,NA,NA,NA,Degradation/Utilization/Assimilation,Amino-Acid-Degradation,Proteinogenic Amino Acid Degradation,ARGININE-DEG$Super-Pathways,L-arginine degradation (Stickland reaction)
ARGSYN-PWY,31904.98964,38550.57804,40708.64561,38121.03961,22714.90184,26779.25221,29439.74938,22556.1439,26891.53983,42853.94983,32812.33457,31090.31841,33149.26615,37121.2805,27265.88729,34477.48058,33847.43009,26389.40294,27056.3218,48350.12254,34423.60437,25617.25905,25313.89752,18430.71863,23189.17653,30131.77308,27064.17952,28533.08128,31730.00725,26566.21142,33132.79556,40027.58936,36986.79013,43344.26559,31075.61495,27137.10272,33014.99635,27220.79985,29520.51296,37912.92242,29340.07775,27133.05019,29932.72533,36848.33417,38415.61557,41059.14637,20903.15764,44533.86731,27585.38661,28299.13717,34539.387,32873.41872,20844.17437,19414.40316,45467.02227,36680.21876,36364.95079,37630.96962,24194.10002,29400.30111,34777.16225,29339.31063,20337.25927,28953.00138,29546.65449,43481.79741,35366.49161,36962.82367,32026.86402,26805.30455,25486.23861,29762.02952,27433.88552,34738.74301,34278.52286,38721.8236,39891.72116,31329.33721,30385.83939,43556.8328,41257.7479,30914.36501,33543.87375,25641.75157,31865.3856,32434.59371,31150.05408,22058.44115,33155.79075,37239.82372,32957.23528,25479.92028,27076.09842,34075.29353,20326.38419,58088.65374,8680.029498,30210.28756,28384.45141,8736.634337,31930.58665,28950.58011,33645.2859,27798.9488,30514.63148,27851.09447,22266.32991,29139.13676,27479.87671,24250.44015,23326.79344,24353.24361,30271.67728,35252.8202,28792.23446,17843.6353,28685.2697,36662.99368,39734.86777,25841.95059,28936.53935,32879.36942,26371.47876,34080.43314,33879.15973,29716.54352,28655.61708,28384.35741,30599.73484,27428.51608,63274.4472,27945.75792,38799.65,21891.99081,26941.28487,23408.4608,23200.83576,28374.33552,29588.56173,20335.77807,24447.04689,25747.43846,20252.26368,23851.58924,23665.226,18751.48877,30848.94723,L-arginine biosynthesis I (via L-ornithine),Superpathways // Amino Acid Biosynthesis,L-arginine Biosynthesis // Superpathways,Archaea // Viridiplantae // Bacteria <bacteria>,Escherichia coli // Moritella sp. // Myxococcus xanthus // Salmonella enterica // Vibrionaceae,L-ornithine biosynthesis I // 2 ATP + L-glutamine + hydrogencarbonate + H2O  ->  L-glutamate + carbamoyl phosphate + 2 ADP + phosphate + 2 H+ // L-ornithine + carbamoyl phosphate  <-->  L-citrulline + phosphate + H+ // L-arginino-succinate  <-->  L-arginine + fumarate // L-aspartate + L-citrulline + ATP  ->  L-arginino-succinate + AMP + diphosphate + H+,L-arginine biosynthesis I (via L-ornithine),Biosynthesis,Amino-Acid-Biosynthesis,Proteinogenic Amino Acid Biosynthesis,ARGININE-SYN$Super-Pathways,L-arginine biosynthesis I (via L-ornithine)
